,CIA,ClimateEnvoy,CommerceGov,DeptofDefense,DeptVetAffairs,DHSgov,ENERGY,EPA,HHSGov,HUDgov,Interior,OMBPress45,op.ed,POTUS,SBAgov,SecBlinken,SecCardona,SecDef,SecFudge,SecGranholm,SecMayorkas,SecRaimondo,SecretaryPete,SecVilsack,SecYellen,StateDept,TheJusticeDept,USAmbUN,USDA,USDOL,usedgov,USTradeRep45,USTreasury,VP,WHCOS
1,-0.182171312,-0.735380328,0.53173434,0.077636436,0.293973427,-0.012925068,0.426327075,0.138258615,0.859461574,0.356010289,0.333611237,0.493124044,-1.908419054,-0.909243444,0.503017101,-0.918116042,-0.175750647,-0.081093354,-0.682430652,-0.146385005,-0.578509597,-0.430616653,-0.516410366,-0.33109605,-1.001251409,0.048588861,0.333930052,-0.533495558,0.390347993,0.31496587,0.335880323,0.356724965,-0.158881337,-0.786237333,-0.352912894
2,-0.405817666,-0.691143569,0.369539128,0.386988897,0.436934644,-0.002470271,0.305307947,0.068029549,0.37874215,0.264324049,0.28362494,0.314678247,-2.181327526,-0.86553865,0.22840643,-0.869302407,-0.062655244,0.172625873,-0.597471315,0.010009409,-0.500810058,-0.370609922,-0.373410266,-0.199504637,-1.025769298,0.160598459,0.391081499,-0.407571683,0.269767505,0.328194514,0.221556692,0.262193538,-0.051570945,-0.718152746,-0.185011826
3,0.765003554,-0.175737643,0.2110947,-0.10239078,-0.062549949,0.18805841,0.172253334,0.495024826,0.836735976,0.173640912,0.318646545,-0.313434633,-0.759466457,-0.750127687,0.468822539,-0.452393271,0.003738529,0.043420019,-0.125460871,-0.133002349,-0.225974803,-0.273050391,-0.53918363,-0.487888806,-0.701844565,-0.254427314,-0.23446663,-0.396197903,0.327503685,-0.039606026,0.517911182,-0.383912529,-0.154239583,-0.608945845,-0.633554136
4,0.764938807,-0.1743053,0.208408448,-0.102447785,-0.061309993,0.18386636,0.172269933,0.497998092,0.83695471,0.174690499,0.32054826,-0.312441308,-0.759895216,-0.750804083,0.47141663,-0.452072464,0.002979244,0.04386819,-0.126361814,-0.13261787,-0.228403499,-0.27663342,-0.538910061,-0.488261595,-0.702089608,-0.254272026,-0.233570047,-0.395839217,0.326398214,-0.038837707,0.518012147,-0.384286132,-0.153767438,-0.608894699,-0.635186196
5,-0.393022171,0.33963126,0.535626571,0.657341108,-0.557997127,0.350257732,0.507887224,-0.221658546,-0.27612022,-0.039631025,0.201157011,-0.025091806,-0.76192571,-0.687344853,-0.094896636,0.214011358,-0.125214727,0.502171122,0.139534777,0.445348893,0.372784084,0.080465606,-0.000938732,-0.16559977,-0.194108942,0.276660969,-0.482083546,0.242861091,-0.11845526,-0.086670644,-0.092897219,-0.330349461,0.106169737,-0.434329716,-0.190347234
6,-0.39420596,0.342335703,0.53356969,0.660762063,-0.55787854,0.344361692,0.507152168,-0.220960536,-0.275527893,-0.039992353,0.202396401,-0.023438044,-0.762394594,-0.687868152,-0.094491118,0.214793886,-0.12412131,0.504992383,0.139476792,0.444956147,0.369389479,0.080165299,-0.000316287,-0.167038537,-0.192942079,0.277428137,-0.483037848,0.244567008,-0.118066804,-0.087897423,-0.092219484,-0.330683755,0.107932451,-0.434123381,-0.19110459
7,-0.244519025,0.339764495,0.154985205,-0.29826932,-0.21096864,0.040565092,0.141485771,0.170237975,0.241728571,-0.528278357,-0.023204366,-0.439695267,-0.024042684,0.020517337,0.186547709,0.5141284,0.031702395,0.189944786,0.129750178,0.012554911,0.141476542,0.382411649,-0.156017864,0.249418973,0.486898752,0.294387801,-0.426810471,0.378416748,0.031892478,-0.134671731,0.140032294,-0.658214944,-0.527742048,0.204347719,-0.239625235
8,0.136486911,-0.004283653,0.181440906,-0.176699158,-0.056895708,0.017276646,0.19203897,0.194685637,0.30259107,-0.615980643,0.03006796,0.000227138,-0.460620767,-0.194454652,0.41792841,0.046012326,-0.118960335,0.08937747,-0.066290281,-0.045367826,-0.143183849,0.075710199,-0.323428233,-0.126942085,-0.018231383,0.066767068,-0.055578816,-0.015702055,0.138013827,0.016721188,0.218395076,-0.224516841,-0.178564134,-0.091343465,-0.198636249
9,0.001431191,-0.096918452,0.049470673,-0.011095669,-0.014574882,0.007022903,-0.111516209,0.066353348,0.136434893,-0.117799524,-0.001282684,-0.156958006,0.196564712,0.109459897,-0.086761047,0.205669088,-0.095540578,0.255184486,0.271176022,-0.069046423,0.146984109,0.118225513,-0.009477526,0.275033626,0.336357143,0.284311077,-0.54835717,0.284632058,-0.027735567,-0.131684865,0.058621723,-0.374408385,-0.372628802,0.123107283,-0.025162532
10,0.335658581,-0.033837186,0.085910911,-0.054292218,-0.056773094,-0.072842557,0.047434541,0.279422109,0.319821571,0.103889497,-0.123009487,0.375673451,-0.464286146,-0.160212384,0.080784396,-0.258321331,-0.271008964,0.059401034,-0.150553911,-0.138161385,-0.347270398,-0.114673144,-0.348093797,-0.235773716,-0.232663436,-0.048567378,0.104589381,-0.329592264,0.267503766,0.269834166,0.177928512,-0.228789609,-0.12644588,-0.19058641,-0.02501847
