账户名称,相关系数
op-ed,1
VP,0.719427158
POTUS,0.706450755
SecYellen,0.625126525
WHCOS,0.582178032
USAmbUN,0.491531528
SecretaryPete,0.460248569
ClimateEnvoy,0.440915245
SecMayorkas,0.407322898
SecBlinken,0.40329792
SecVilsack,0.395589888
SecFudge,0.367119072
SecRaimondo,0.219133839
SecCardona,0.201921862
StateDept,0.195087562
USTreasury,0.018129788
SecDef,0.017995424
CIA,-0.020927537
SecGranholm,-0.050034413
DeptVetAffairs,-0.108937272
DHSgov,-0.126461553
TheJusticeDept,-0.130889898
USTradeRep45,-0.137456127
DeptofDefense,-0.213754498
OMBPress45,-0.219229801
EPA,-0.220438264
USDOL,-0.247788894
HUDgov,-0.249197737
HHSGov,-0.399563976
SBAgov,-0.429008079
Interior,-0.432097795
ENERGY,-0.450879158
usedgov,-0.457586421
USDA,-0.542529712
CommerceGov,-0.668192887
